wikidata_id,wiki_en,wiki_ja,pageviews_en_12m,pageviews_ja_12m,wiki_pageviews_12m,popularity
Q124427629,,報恩寺 (京都市),0,1402,1402,0.0039
Q11505112,,日向大神宮,0,7993,7993,0.022
Q11028481,,誓願寺,0,9199,9199,0.0253
Q11613461,,興臨院,0,1876,1876,0.0052
Q11677239,,鹿王院,0,4321,4321,0.0119
Q1786709,Shōkoku-ji,相国寺,8380,51502,59882,0.165
Q65278999,,羽束師坐高御産日神社,0,3558,3558,0.0098
Q17988913,,今宮神社 (京都市右京区),0,875,875,0.0024
Q133326109,Gyokuhō-in,,216,0,216,0.0006
Q3076940,Manshu-in,曼殊院,934,8876,9810,0.027
Q126391445,,,0,0,0,0.0
Q11564007,,源光庵,0,4776,4776,0.0132
Q1201304,Kyoto Tower,京都タワー,14640,40185,54825,0.151
Q11501300,Shinkyōgoku Street,新京極通,4384,5788,10172,0.028
Q80622906,Ninenzaka,,10405,0,10405,0.0287
Q11574990,Sannenzaka,産寧坂,14175,16036,30211,0.0832
Q7701558,Teramachi Street,寺町通,9812,9005,18817,0.0518
Q11544846,,櫻谷文庫,0,1176,1176,0.0032
Q11309480,,ジオラマ・京都・JAPAN,0,2070,2070,0.0057
Q10938466,,大雲院 (京都市),0,9348,9348,0.0258
Q11359019,,上徳寺,0,1436,1436,0.004
Q738971,Hirano Shrine,平野神社,2964,19975,22939,0.0632
Q11585586,,石峯寺 (京都市),0,2769,2769,0.0076
Q10928238,,地主神社,0,6376,6376,0.0176
Q133288972,,,0,0,0,0.0
Q710302,Matsunoo Taisha,松尾大社,3226,36291,39517,0.1089
Q3012166,Daisen-in,大仙院,6026,5213,11239,0.031
Q17213428,,清水三年坂美術館,0,4513,4513,0.0124
Q21019695,,満足稲荷神社,0,1327,1327,0.0037
Q76259441,,金札宮,0,1808,1808,0.005
Q11442065,,大黒寺 (京都市伏見区),0,2788,2788,0.0077
Q1082935,Mibu-dera,壬生寺,1586,14187,15773,0.0435
Q112009132,,,0,0,0,0.0
Q11410466,,双林院,0,685,685,0.0019
Q65247911,,三縁寺,0,1090,1090,0.003
Q11375286,,京都府立陶板名画の庭,0,3029,3029,0.0083
Q11630596,Imakumano Kannon-ji,今熊野観音寺,363,5399,5762,0.0159
Q3454075,Ryōgen-in,龍源院,1182,3035,4217,0.0116
Q112009147,,,0,0,0,0.0
Q11452823,,実相院,0,8454,8454,0.0233
Q100166711,,,0,0,0,0.0
Q111551908,,御所八幡宮,0,1709,1709,0.0047
Q11433633,,大善寺 (京都市),0,2606,2606,0.0072
Q1072965,Hōjūjidono,法住寺 (京都市),764,7084,7848,0.0216
Q123114940,,熊野若王子神社,0,3122,3122,0.0086
Q11487153,,引接寺 (京都市),0,3737,3737,0.0103
Q11585175,,石像寺,0,2568,2568,0.0071
Q11518370,,木嶋坐天照御魂神社,0,21770,21770,0.06
Q11658945,Zuishin-in,随心院,594,11757,12351,0.034
Q11534162,,柳原銀行,0,6221,6221,0.0171
Q116085694,,誠心院,0,1083,1083,0.003
Q20044462,,西福寺 (京都市東山区),0,2201,2201,0.0061
Q133289013,,,0,0,0,0.0
Q11439141,Higashi Otani,大谷祖廟,1615,10220,11835,0.0326
Q11497319,,承天閣美術館,0,3518,3518,0.0097
Q11402029,Kitamura Museum,北村美術館,601,1923,2524,0.007
Q3558612,Villa Kujoyama,ヴィラ九条山,2191,1719,3910,0.0108
Q6452114,Kyoto Art Center,京都芸術センター,1188,1541,2729,0.0075
Q11622794,Yūrinkan Museum,藤井斉成会有鄰館,572,3105,3677,0.0101
Q692714,Yasaka Shrine,八坂神社,34266,74030,108296,0.2983
Q53737773,,漢検漢字博物館・図書館,0,1578,1578,0.0043
Q11476799,,島津創業記念資料館,0,1037,1037,0.0029
Q783923,Kyoto International Manga Museum,京都国際マンガミュージアム,5725,9424,15149,0.0417
Q132529351,,,0,0,0,0.0
Q147286,Kyoto National Museum,京都国立博物館,9630,28776,38406,0.1058
Q1055628,"National Museum of Modern Art, Kyoto",京都国立近代美術館,2769,7066,9835,0.0271
Q104721143,,,0,0,0,0.0
Q11630696,,角屋,0,6581,6581,0.0181
Q11645680,Nomura Art Museum,野村美術館,687,2902,3589,0.0099
Q3330657,Kyoto Municipal Museum of Art,京都市美術館,3167,17784,20951,0.0577
Q11516157,,月桂冠大倉記念館,0,1413,1413,0.0039
Q127503199,,,0,0,0,0.0
Q11375242,,京都府立堂本印象美術館,0,1898,1898,0.0052
Q3959661,,,0,0,0,0.0
Q6452177,Kyoto Museum for World Peace,立命館大学国際平和ミュージアム,1040,1714,2754,0.0076
Q3478488,Sen-Oku Hakukokan Museum,泉屋博古館,28,11378,11406,0.0314
Q18339063,,琵琶湖疏水記念館,0,1077,1077,0.003
Q30266176,,京都市青少年科学センター,0,1853,1853,0.0051
Q18337620,,並河靖之七宝記念館,0,1101,1101,0.003
Q11375592,Museum of Kyoto,京都文化博物館,1984,9348,11332,0.0312
Q11450246,,安井金比羅宮,0,28452,28452,0.0784
Q64143380,,,0,0,0,0.0
Q30933052,Ryūkoku Museum,龍谷ミュージアム,512,2981,3493,0.0096
Q132529270,,,0,0,0,0.0
Q22118562,,京都佛立ミュージアム,0,1609,1609,0.0044
Q11375124,Kyoto City Archaeological Museum,京都市考古資料館,334,1317,1651,0.0045
Q18336820,,京都ギリシアローマ美術館,0,1451,1451,0.004
Q11375001,,京都市学校歴史博物館,0,1298,1298,0.0036
